## Sus Cup 1 — G1 Tokyo Yushun (Japanese Derby)

**Date:** 2025-08-11
**Race time:** 19:06
**Room ID:** 1662 1798
**Track:** Tokyo Turf
**Distance:** 2400m — Medium
**Direction:** Left
**Weather:** Sunny
**Ground:** Firm
**Condition:** Firm
**Mood:** Great
**Season:** Spring
**Rank limit:** A Rank Max

| Pos | Uma                               | Trainer     | No. | Rank | Title             | Style | Time/Gap   | Fav |
|   9 | Dropping Link   | NPC      |  11 | C+   | —                 | Late  | 1 1/4 L    |  11 |
|  10 | Silver Sazanka  | NPC      |  10 | C+   | —                 | Late  | Neck       |   8 |
|  11 | Avec Dream      | NPC      |   7 | C+   | —                 | Front | 1/2 L      |  15 |
|  12 | Daiwa Scarlet   | Jiinxye  |  15 | A    | Miss Perfect      | Front | Head       |   4 |
|  13 | Breeze Chopper  | NPC      |  14 | B    | —                 | Pace  | Nose       |  13 |
|  14 | Lovely Patricia | NPC      |   2 | C+   | —                 | Front | 3/4 L      |  12 |
|  15 | Fairies Echo    | NPC      |  13 | C+   | —                 | Front | Neck       |  14 |
|  16 | Stenz           | NPC      |   3 | C+   | —                 | Pace  | Neck       |  16 |

## Sus Cup 9 — Japanese Oaks

**Date:** 2025-09-17
**Race time:** 19:00
**Room ID:** 0000 0000
**Track:** Tokyo Turf
**Distance:** 2400m — Medium
**Direction:** Left
**Weather:** Random
**Ground:** Firm
**Mood:** Random
**Rank limit:** Rank Max
**Special rule:** None

| Pos | Uma            | Trainer     | No. | Rank | Title           | Style | Time/Gap   | Fav |
| --: | -------------- | ----------- | --: | ---- | --------------- | ----- | ---------- | --: |
|   1 | Seiun Sky      | Cruzi       |   4 | A    | Finals Champion | Front | **2:21.4** |   7 |
|   2 | Grass Wonder   | agnes       |  13 | A    | The GOAT        | Late  | Nose       |   2 |
|   3 | Symboli Rudolf | Cyciesta    |  15 | A    | The GOAT        | Pace  | 1/2 L      |   3 |
|   4 | Tokai Teio     | Jiinxye     |  17 | A    | Monarch         | Pace  | 1 1/2 L    |   1 |
|   5 | Agnes Tachyon  | Cruzi       |   7 | A    | Finals Champion | Pace  | 3 L        |   5 |
|   6 | El Condor Pasa | agnes       |  11 | A    | Phantom Bird    | Late  | 2 1/2 L    |   8 |
|   7 | Agnes Tachyon  | Cyciesta    |  12 | A    | The GOAT        | Late  | 1 1/4 L    |   6 |
